Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id,runtime_minutes,imdbRating_clean,imdbVotes_clean,Metascore_clean,Year_clean
The Blazing Sun,1954,TV-14,01 Mar 1954,105 min,"Crime, Drama, Romance",Youssef Chahine,"Ali El Zorkani, Hilmi Halim","Faten Hamamah, Omar Sharif, Zaki Rostom","A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BNzdmZmVjNDgtNmVkMy00ZWRkLTgzNWItY2NlN2IxMmEwNDEzXkEyXkFqcGdeQXVyMjI4NzAzNjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"1,546",tt0044429,movie,,,,,tt0044429,105.0,7.2,1546.0,,1954
White Christmas,1954,Approved,05 Nov 1954,120 min,"Comedy, Musical, Romance",Michael Curtiz,"Norman Krasna, Norman Panama, Melvin Frank","Bing Crosby, Danny Kaye, Rosemary Clooney",A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,English,United States,Nominated for 1 Oscar. 2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYzZlOTBmZDgtMWIwMS00YTNlLTllNWYtZTk1MmY0ZWU3MzQzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56.0,7.6,"55,759",tt0047673,movie,,"$2,800,094",,,tt0047673,120.0,7.6,55759.0,56.0,1954
Dark Waters,1956,TV-14,16 Jan 1956,120 min,"Drama, Romance, Thriller",Youssef Chahine,"El Sayed Bedeir, Youssef Chahine, Lezait Fayed","Faten Hamamah, Omar Sharif, Ahmed Ramzy","After three years of absence, back (Recep) after a long travel trip spent on the back of one of the ships in an effort to save money in order to complete his marriage b (benign), who lives with his mother in a shack built on the s...",Arabic,Egypt,,https://m.media-amazon.com/images/M/MV5BNmUyY2U1MzYtYmIxYi00MzRjLTg4ZjktNzRjYjQwYTlhMzVlXkEyXkFqcGdeQXVyMjg0MzMwNzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,760,tt0049761,movie,,,,,tt0049761,120.0,6.7,760.0,,1956
Cairo Station,1958,Not Rated,20 Jan 1958,77 min,"Crime, Drama",Youssef Chahine,"Abdel Hai Adib, Mohamed Abu Youssef","Farid Shawqi, Hind Rustum, Youssef Chahine",A newspaper salesman at the train station in Cairo develops an unhealthy obsession with a woman who sells refreshments.,Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BYTRjN2JiMGUtMGM4YS00OWIxLWE5YTItNTkxYWNlN2ExY2UyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,7.5,"5,565",tt0051390,movie,,,,,tt0051390,77.0,7.5,5565.0,,1958
The Guns of Navarone,1961,Not Rated,28 Apr 1961,158 min,"Action, Adventure, Drama",J. Lee Thompson,"Alistair MacLean, Carl Foreman","David Niven, Gregory Peck, Anthony Quinn","A team of Allied saboteurs is assigned an impossible mission: infiltrate an impregnable Nazi-held Greek island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.","English, Greek, German, Latin","United Kingdom, United States",Won 1 Oscar. 4 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMmFkZWIwNzQtNzdlYS00NTg3LWIzMTctM2U2NWQ0MTVlZmU1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.5,"57,924",tt0054953,movie,,,,,tt0054953,158.0,7.5,57924.0,72.0,1961
Professor,1962,,11 May 1962,166 min,"Comedy, Drama, Musical",Lekh Tandon,"Abrar Alvi, Shashi Bhushan","Shammi Kapoor, Lalita Pawar, Parveen Choudhary",A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.,Hindi,India,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMzkzMzk4YzMtY2YzNi00ODQ3LWExZGQtYzhiNzI0NWU4ZDFlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",,6.9,331,tt0056379,movie,,,,,tt0056379,166.0,6.9,331.0,,1962
Saladin,1963,TV-MA,25 Feb 1963,194 min,"Action, Adventure, Biography",Youssef Chahine,"Mohamed Abdel Gawad, Youssef Chahine, Abderrahman Charkawi","Ahmad Mazhar, Salah Zulfikar, Nadia Lutfi","After Saladin's victory over the King of Jerusalem, a peace treaty is signed between them, but the commander of the Crusader army, Renaud de Chatillon, slaughters a group of pilgrims going to Mecca. Saladin then decides to take re...",Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BYjU5YzlkMjMtZDFjZC00MGZlLTllNmYtMDUxYTYzOTI5MTljXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"2,924",tt0057357,movie,05 Jan 2010,,,,tt0057357,194.0,7.5,2924.0,,1963
My Fair Lady,1964,G,25 Dec 1964,170 min,"Drama, Family, Musical",George Cukor,"Alan Jay Lerner, George Bernard Shaw","Audrey Hepburn, Rex Harrison, Stanley Holloway","In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make a crude flower girl, Eliza Doolittle, presentable in high society.",English,United States,Won 8 Oscars. 26 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNmMxZmFjZmQtMDRiOC00MDQxLTlhNDktZTkxMmRiYWM1ZDUzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95.0,7.7,"105,962",tt0058385,movie,,"$72,560,711",,,tt0058385,170.0,7.7,105962.0,95.0,1964
Amrapali,1966,,11 Sep 1966,119 min,"Fantasy, History",Lekh Tandon,"Arjun Dev Rashk, Balbir Singh, Omkar Sahib","Vyjayanthimala, Sunil Dutt, Premnath Malhotra","A victory over neighboring state Vaishai has always eluded Magadh Samrat Ajaatshatru despite being winning and taking control over all neighboring states. He attacks Vaishali only get defeated again. Wounded, lost and on the run, ...",Hindi,India,,https://m.media-amazon.com/images/M/MV5BNjM5NzUwNDctZDlmMC00MWIzLTgzZTItNDViNGMwODQxMzNmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,288,tt0060104,movie,,,,,tt0060104,119.0,6.7,288.0,,1966
The Professionals,1966,PG-13,04 Nov 1966,117 min,"Action, Adventure, Drama",Richard Brooks,"Frank O'Rourke, Richard Brooks","Burt Lancaster, Lee Marvin, Robert Ryan",An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,"English, Spanish",United States,Nominated for 3 Oscars. 3 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BYzJmYzk3NmMtZGQ3My00OGE2LTgzMGYtN2VkOTU5ZTZhMjlmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,7.3,"20,075",tt0060862,movie,,"$19,537,346",,,tt0060862,117.0,7.3,20075.0,75.0,1966
Bonnie and Clyde,1967,R,14 Aug 1967,111 min,"Action, Biography, Crime",Arthur Penn,"David Newman, Robert Benton, Robert Towne","Warren Beatty, Faye Dunaway, Michael J. Pollard","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",English,United States,Won 2 Oscars. 22 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BYWI3ZmM1NmEtMDk4Yi00MzYzLTk0MDctYWJlZjY4MGViNDFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86.0,7.7,"126,617",tt0061418,movie,,,,,tt0061418,111.0,7.7,126617.0,86.0,1967
Prince,1969,,,,"Musical, Romance",Lekh Tandon,Abrar Alvi,"Shammi Kapoor, Vyjayanthimala, Rajendranath Malhotra","A rich prince who lives in luxury wants to attain inner peace. He leaves his riches to become an ordinary villager and from there on, his adventure begins.",Hindi,India,,https://m.media-amazon.com/images/M/MV5BYTUyN2IzZGItOTJlZS00ZTJjLWEwNjQtYTFjZmY3MGZmNTNiXkEyXkFqcGdeQXVyMjMzMzc0MjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,218,tt0064842,movie,,,,,tt0064842,,7.1,218.0,,1969
Dirty Harry,1971,R,23 Dec 1971,102 min,"Action, Crime, Thriller","Don Siegel, Clint Eastwood","Harry Julian Fink, Rita M. Fink, Dean Riesner","Clint Eastwood, Andrew Robinson, Harry Guardino","When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.",English,United States,2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BYzNmOWVjN2ItMTQzOS00MTI4LTgxZDItMmZjNTVlMjY5Mjc1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87.0,7.7,"177,905",tt0066999,movie,,"$35,988,495",,,tt0066999,102.0,7.7,177905.0,87.0,1971
FTA,1972,R,22 Nov 1972,103 min,"Documentary, Comedy, Music",Francine Parker,"Michael Alaimo, Len Chandler, Pamela Donegan","Jane Fonda, Donald Sutherland, Pamela Donegan","Available for the first time since it mysteriously disappeared in 1972 after only one week in theaters, this raucous film is a riveting slice of the Vietnam anti-war movement.",English,United States,,https://m.media-amazon.com/images/M/MV5BODNmNmMwMDYtYmE0Mi00MGFkLTliMDgtNjk0YTFjNTc4NzA3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,6.4,498,tt0068562,movie,,,,,tt0068562,103.0,6.4,498.0,75.0,1972
