Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id
The Blazing Sun,1954,TV-14,01 Mar 1954,105 min,"Crime, Drama, Romance",Youssef Chahine,"Ali El Zorkani, Hilmi Halim","Faten Hamamah, Omar Sharif, Zaki Rostom","A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BNzdmZmVjNDgtNmVkMy00ZWRkLTgzNWItY2NlN2IxMmEwNDEzXkEyXkFqcGdeQXVyMjI4NzAzNjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"1,546",tt0044429,movie,N/A,N/A,N/A,N/A,tt0044429
White Christmas,1954,Approved,05 Nov 1954,120 min,"Comedy, Musical, Romance",Michael Curtiz,"Norman Krasna, Norman Panama, Melvin Frank","Bing Crosby, Danny Kaye, Rosemary Clooney",A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,English,United States,Nominated for 1 Oscar. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYzZlOTBmZDgtMWIwMS00YTNlLTllNWYtZTk1MmY0ZWU3MzQzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,7.6,"55,503",tt0047673,movie,N/A,"$2,800,094",N/A,N/A,tt0047673
Dark Waters,1956,TV-14,16 Jan 1956,120 min,"Drama, Romance, Thriller",Youssef Chahine,"El Sayed Bedeir, Youssef Chahine, Lezait Fayed","Faten Hamamah, Omar Sharif, Ahmed Ramzy","After three years of absence, back (Recep) after a long travel trip spent on the back of one of the ships in an effort to save money in order to complete his marriage b (benign), who lives with his mother in a shack built on the s...",Arabic,Egypt,N/A,https://m.media-amazon.com/images/M/MV5BNmUyY2U1MzYtYmIxYi00MzRjLTg4ZjktNzRjYjQwYTlhMzVlXkEyXkFqcGdeQXVyMjg0MzMwNzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,760,tt0049761,movie,N/A,N/A,N/A,N/A,tt0049761
Cairo Station,1958,Not Rated,20 Jan 1958,77 min,"Crime, Drama",Youssef Chahine,"Abdel Hai Adib, Mohamed Abu Youssef","Farid Shawqi, Hind Rustum, Youssef Chahine",A newspaper salesman at the train station in Cairo develops an unhealthy obsession with a woman who sells refreshments.,Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BYTRjN2JiMGUtMGM4YS00OWIxLWE5YTItNTkxYWNlN2ExY2UyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.5,"5,565",tt0051390,movie,N/A,N/A,N/A,N/A,tt0051390
The Guns of Navarone,1961,Not Rated,28 Apr 1961,158 min,"Action, Adventure, Drama",J. Lee Thompson,"Alistair MacLean, Carl Foreman","David Niven, Gregory Peck, Anthony Quinn","A team of Allied saboteurs is assigned an impossible mission: infiltrate an impregnable Nazi-held Greek island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.","English, Greek, German, Latin","United Kingdom, United States",Won 1 Oscar. 4 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMmFkZWIwNzQtNzdlYS00NTg3LWIzMTctM2U2NWQ0MTVlZmU1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.5,"57,924",tt0054953,movie,N/A,N/A,N/A,N/A,tt0054953
Professor,1962,N/A,11 May 1962,166 min,"Comedy, Drama, Musical",Lekh Tandon,"Abrar Alvi, Shashi Bhushan","Shammi Kapoor, Lalita Pawar, Parveen Choudhary",A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.,Hindi,India,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMzkzMzk4YzMtY2YzNi00ODQ3LWExZGQtYzhiNzI0NWU4ZDFlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,331,tt0056379,movie,N/A,N/A,N/A,N/A,tt0056379
Saladin,1963,TV-MA,25 Feb 1963,194 min,"Action, Adventure, Biography",Youssef Chahine,"Mohamed Abdel Gawad, Youssef Chahine, Abderrahman Charkawi","Ahmad Mazhar, Salah Zulfikar, Nadia Lutfi","After Saladin's victory over the King of Jerusalem, a peace treaty is signed between them, but the commander of the Crusader army, Renaud de Chatillon, slaughters a group of pilgrims going to Mecca. Saladin then decides to take re...",Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BYjU5YzlkMjMtZDFjZC00MGZlLTllNmYtMDUxYTYzOTI5MTljXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"2,924",tt0057357,movie,05 Jan 2010,N/A,N/A,N/A,tt0057357
My Fair Lady,1964,G,25 Dec 1964,170 min,"Drama, Family, Musical",George Cukor,"Alan Jay Lerner, George Bernard Shaw","Audrey Hepburn, Rex Harrison, Stanley Holloway","In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make a crude flower girl, Eliza Doolittle, presentable in high society.",English,United States,Won 8 Oscars. 26 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNmMxZmFjZmQtMDRiOC00MDQxLTlhNDktZTkxMmRiYWM1ZDUzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95,7.7,"105,962",tt0058385,movie,N/A,"$72,560,711",N/A,N/A,tt0058385
Amrapali,1966,N/A,11 Sep 1966,119 min,"Fantasy, History",Lekh Tandon,"Arjun Dev Rashk, Balbir Singh, Omkar Sahib","Vyjayanthimala, Sunil Dutt, Premnath Malhotra","A victory over neighboring state Vaishai has always eluded Magadh Samrat Ajaatshatru despite being winning and taking control over all neighboring states. He attacks Vaishali only get defeated again. Wounded, lost and on the run, ...",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BNjM5NzUwNDctZDlmMC00MWIzLTgzZTItNDViNGMwODQxMzNmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,288,tt0060104,movie,N/A,N/A,N/A,N/A,tt0060104
The Professionals,1966,PG-13,04 Nov 1966,117 min,"Action, Adventure, Drama",Richard Brooks,"Frank O'Rourke, Richard Brooks","Burt Lancaster, Lee Marvin, Robert Ryan",An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,"English, Spanish",United States,Nominated for 3 Oscars. 3 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BYzJmYzk3NmMtZGQ3My00OGE2LTgzMGYtN2VkOTU5ZTZhMjlmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.3,"20,075",tt0060862,movie,N/A,"$19,537,346",N/A,N/A,tt0060862
