Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
Death to 2020,2020,TV-MA,27 Dec 2020,70 min,Comedy,"Al Campbell, Alice Mathias","Charlie Brooker, Annabel Jones, Tom Baker","Samuel L. Jackson, Hugh Grant, Lisa Kudrow","In mockumentary format, characters discuss events of 2020 with a mixture of true information and satire. The overarching topic is the COVID-19 pandemic, particularly in the US and UK.",English,"United States, Germany, United Kingdom",1 nomination total,https://m.media-amazon.com/images/M/MV5BOTkzZjY3ZWEtYWEzMy00YmI0LWE5YzMtZTRiNWVmZWIwOTY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}]",N/A,6.8,"40,691",tt13567480,movie,N/A,N/A,N/A,N/A
Life of Crime 1984-2020,2021,N/A,30 Nov 2021,121 min,"Documentary, Biography, Crime",Jon Alpert,N/A,"Deliris, Freddy, Robert","A relentless ride through the streets and prisons of Newark, New Jersey's largest city, and desperate fight to survive the deadliest enemy ever to attack America.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BODIzOGNmODEtYzA5OS00MWJiLTkyOGEtYmMyNTQwN2MzMTY5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"2,826",tt15119154,movie,N/A,N/A,N/A,N/A
Mission 2020,2021,N/A,29 Oct 2021,140 min,Action,Karanam P. Babji,N/A,"Naga Babu, Naveen Chandra, Madhu Nambiar","The film revolves around Prakash and his four friends, they get addicted to watching porn videos. In that daze, they rape their own college mate Swathi.",Telugu,India,N/A,https://m.media-amazon.com/images/M/MV5BODQ5NTBlMzUtOTdlOC00MDVjLWI3OTEtN2YwODg4OTA5YTVlXkEyXkFqcGdeQXVyMTQyOTI4MDYx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"2,189",tt15840328,movie,N/A,N/A,N/A,N/A
2020 Golmaal,2022,N/A,18 Feb 2022,112 min,"Action, Drama, Romance",John Jakki,John Jakki,"AkshataSonawane, Kislay Chaudhary, Maahi mallhotra","A village guy named Raghu fell in love with a girl. His friend aspired for a relationship with a senile But here, a twist has been happened. An MLA, along with Raghu and his family members have found missing abruptly.",Telugu,India,N/A,https://m.media-amazon.com/images/M/MV5BOTdlNzcyZDMtOTg2MS00ZmE2LWEwZDYtYmYxMjJmOGQ2MWMwXkEyXkFqcGdeQXVyMTQ5MTE1NDg1._V1_SX300.jpg,[],N/A,N/A,"1,189",tt18246372,movie,N/A,N/A,N/A,N/A
2020,2017,Unrated,28 Dec 2019,90 min,"Action, Adventure, Sci-Fi",Nick Lyon,"Blaine Chiappetta, Ke'Lonn Darnell, Rafael Jordan","Stacey Oristano, Rib Hillis, Ed Amatrudo",A stolen seismic weapon is activated in Yemen. A hostage freed there tries in vain to warn against its global effect. It starts seismic activity at the Californian fault line where her daughter and ex are monitoring it. Can they s...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjY4NGZhZTQtYzdjMS00ZjY5LWI0MDgtMTljNWRlOWVlY2VlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,"1,108",tt6727598,movie,N/A,N/A,N/A,N/A
Battle Queen 2020,2001,R,22 May 2001,95 min,"Action, Sci-Fi",Daniel D'Or,"William D. Bostjancic, Michael B. Druxman, Billy Hulkower","Julie Strain, Jeff Wincott, Zerha Leverman","After a civilization is all but wiped out by a comet, evil forces take advantage of the weak. A powerful woman fights back for the sake of the vulnerable.",English,"Canada, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BMTI2ODQ4MjU5MV5BMl5BanBnXkFtZTcwNDg2MTgyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}]",N/A,3.2,"1,010",tt0232098,movie,N/A,N/A,N/A,N/A
2020 Golden Globe Awards,2020,TV-14,05 Jan 2020,134 min,Comedy,Louis J. Horvitz,"Barry Adelman, Jon Macks, Dave Boone","Ricky Gervais, Jennifer Aniston, Reese Witherspoon",Comedian Ricky Gervais brutally roasts Hollywood and exposes their hypocrisy.,"English, Korean",United States,Nominated for 2 Primetime Emmys. 4 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BYmZiMWE1MjgtMDY0Mi00ZTc1LWIyMDAtMjA1NGU0OTQ5MjFkXkEyXkFqcGdeQXVyNzA2NjE1NjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,950,tt10821190,movie,N/A,N/A,N/A,N/A
2020 Texas Gladiators,1983,Not Rated,01 Mar 1984,91 min,"Action, Sci-Fi, Thriller","Joe D'Amato, George Eastman","George Eastman, Aldo Florio","Al Cliver, Harrison Muller, Daniel Stephen","In a post-apocalyptic Texas, a band of warriors fight against a fascist regime that is trying to take control of all surviving population.",Italian,Italy,N/A,https://m.media-amazon.com/images/M/MV5BN2ZhYmMzOWItYzY4NS00NmRkLWI3NzgtYWU5M2EyN2NmMWZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,916,tt0083565,movie,N/A,N/A,N/A,N/A
Life in a Day 2020,2021,Not Rated,06 Feb 2021,90 min,"Documentary, Drama","Kevin Macdonald, Howard Hong, Danica Jensen",N/A,"Olivia Castanho, Despina Mirou, Shaira Yasmin Berg",Life In A Day 2020 will call on millions of people around the world to film their lives on July 25.,English,"United Kingdom, United States",3 nominations total,https://m.media-amazon.com/images/M/MV5BZWUwMWM1N2ItZDk0YS00OGViLWIxYTEtMjkxYmY3NGU2NTllXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,7.2,820,tt12706768,movie,N/A,N/A,N/A,N/A
Best of Stand-Up 2020,2020,N/A,31 Dec 2020,76 min,Comedy,N/A,N/A,"Eric André, Michelle Buteau, Urzila Carlson","From Jerry Seinfeld to Leslie Jones, Kevin Hart to Hannah Gadsby, laugh along with the funniest bits from Netflix's 2020 stand-up comedy specials. Unnecessary milk substitutes. Bad passwords. Burlap underpants. 2020 may have sucke...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGJmODNiMTYtYzVlMy00OWNjLThjYzEtZTliZjAyNjdhNWY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,718,tt13649688,movie,N/A,N/A,N/A,N/A
